Vedette	Renvoi	Lien mort ?
KYSTITE	CYSTITE	
KYSTITOME	CYSTITOME	
KYSTOCÈLE	CYSTOCÈLE	
KYSTOPTOSE	CYSTOPTOSE	
KYSTOTOMIE	CYSTOTOMIE	
LABDANUM	LADANUM	
LACQ	LIEN	
LACRYMAL	CANAL	
LACRYMAL	CARONCULE	
LACTÉ	FIÈVRE	
LAITEUX	CROUTE	
LAMBDOÏDAL	LAMBDOÏDE	
LARGE	FASCIA	
LARGE	PEAUSSIER	???
LARGE	DORSAL	
LARMOIEMENT	EPIPHORA	
LAVEMENT	CLYSTÈRE	
LÉGUME	GOUSSE	
LEIPODERME	LIPODERME	
LEIPOMÉRIE	LIPOMERIE	
LEIPOPSYCHIE	LIPOPSYCHIE	
LEIPOTHYMIE	LIPOTHYMIE	
LEIPYRIE	LIPYRIE	
LENTIFORME	LENTICULAIRE	
LÉONTINE	LÉONTIASE	
LESSIVE	CARBONATE (SOUS-)	???
LIGAMENT	CERVICAL	
LIGAMENT	CILIAIRE	
LIGAMENT	DENTELÉ	
LIGAMENT	CRURAL	
LIGAMENT	ROND	
LIGAMENT	VERTÉBRAL	
LINIMENT	SAVON	
LIQUEUR	EAUX	
LITHIASIQUE	LITHIQUE	
LITHIATE	URATE	
LIVRET	LIBER	
LOCH	LOOCH	
LOMBAGIE	LUMBAGO	
LOOCH	MARMELADE	
LOOCH	POUDRE	
LYRE	CORPS	
MADIE	BABEURRE	
MAGNÉTIQUE	BARBEAU	
MAL	EPILEPSIE	
MAL	NAUSÉE	
MAL	ODONTALGIE	
MAL	ODONTALGIE	
MAL	GASTRALGIE	
MAL	TRISMUS	
MAL	HYSTÉRIE	
MAL	EPILEPSIE	
MAL	CÉPHALALGIE	
MAL	EPILEPSIE	
MAL	LÈPRE	
MAL	EPILEPSIE	
MAL	PLIQUE	
MAL	ÉRYSIPÈLE	
MAL	EPILEPSIE	
MALADIE	CYANOPATHIE	
MALADIE	NOSTALGIE	
MALADIE	NÉVROSE	
MALADIE	MÉLÆNA	
MALADIE	PHTHIRIASE	
MALADIE	EPILEPSIE	
MALADIE	SYPHILIS	
MANILUVE	MANULUVE	
MANUSTUPRATION	MASTURBATION	
MANUS Dei	MAIN	
MARISQUE	FIC	
MARRUBE	BALLOTTE	
MASTUPRATION	MASTURBATION	
MATIÈRE	CALORIQUE	
MATIÈRE	ELECTRICITÉ	
MATIÈRE	CALORIQUE	
MATIÈRE	MAGNÉTISME	
MÉDECINE	CHIRURGIE	
MÉDECINE	VÉTÉRINAIRE	
MELLITE	ONGUENT	
MELLITE	MIEL	
MELLITE	SIROP	
MELLITE	MIEL	
MELLITE	MIEL	
MELLITE	SIROP	
MEMARCHURE	ENTORSE	
MEMBRE	PÉNIS	
MÉNESPAUSIE	MÉNOPAUSE	
MÉNINGOPHYLAX	DÉPRESSEUR	???
MERCURE	POUDRE	
MERCURE	POUDRE	
MERCURE	PRÉCIPITÉ	
MERCURE	PRÉCIPITÉ	
MERLU	MERLUCHE	
MÉTASTOSE	MÉTOPTOSE	???
MEURTRISSURE	CONTUSION	
MIEL	MIEL	
MIEL	MIEL	
MIEL	MIEL	
MIEL	MELLITE	
MIEL	MIEL	
MINERAI	MINE	
MIROBOLAN	MYROBOLAN	
MITRE  d’Hippocrate	CAPELINE	
MOCHLIQUE	PURGATIF	
MONDIFIER	DÉTERGER	
MONOPACIE	MONOPÉGIE	
MONT de Vénus	PÉNIL	
MONTMORENCY	ENGHIEN	
MOPHETTE	MOFETTE	
MORCEAU	MORCEAU	
MOROLINIQUE	MORIQUE	
MOROXALIQUE	MORIQUE	
MORT	ASPHYXIE	
MOUFFETTE	MOFETTE	
MUCILAGE	MUCUS	
MUETISME	MUTISME	
MUQUEUX	MUCUS	
MURAILLE	CORNE	
MURIATE	HYROCHLORATE	???
MURIATE	HYDROCHLORATE	
MURIATE	HYDROCHLORATE	
MURIATE	HYDROCHLORATE	
MURIATE	HYDROCHLORATE	
MURIATE	HYDROCHLORATE	
MURIATE	HYDROCHLORATE	
MURIATE	CHLORURE	
MURIATE	CHLORATE	
MURIATIQUE	HYDROCHLORIQUE	
MURIATIQUE	CHLORIQUE	
MUSOMANIE	MUSICOMANIE	
MUTITÉ	MUTISME	
MYDOSE	MYDÈSE	
MYOPIASE	MYOPIE	
MYOSITIE	MYOSITE	
MYRMÉCIASE	MYRMÉCIE	
MYRMÉCISME	MYRMÉCIE	
MYRTIFORME	NYMPHE	
NANCÉIQUE	ZUMIQUE	
NARINE	ARRIÈRE-NARINES	???
NASCAPHTHE	NARCAPHTHE	
NATRUM	NATRON	
NAVICULAIRE	FOSSE	
NÈGRE	ALBINOS	
NEIGE	FLEURS	
NÉPHÈLE	NÉPHÉLION	
NÉPHRITIQUE	NÉPHRÉTIQUE	
NÉPHROLITHIQUE	NÉPHROLITHE	
NERPRUN	BOURDAINE	
NERPRUN	JUJUBIER	
NERVAL	NERVEUX	
NERVAL	NERVIN	
NEURALGIE	NÉVRALGIE	
NEURITE	NÉVRITE	
NEUROGRAPHIE	NÉVROGRAPHIE	
NEUROLOGIE	NÉVROLOGIE	
NEUROSE	NÉVROSE	
NEUROTIQUE	NÉVROTIQUE	
NÉVRITIQUE	NERVIN	
NÉVUS	NÆVUS	
NIHIL album	NIHIL	
NITRO-HYDROCHLORIQUE	HYDROCHLORO-NITRIQUE	
NOCTAMBULATION	NOCTAMBULISME	
NOIRPRUN	NERPRUN	
NOIX	AREC	
NOIX	BEN	
NOIX	MUSCADE	
NUTRICIER	NOURRICIER	
NYCHTHÉMÈRE	NYCTHÉMÈRE	
OBIER	AUBIER	
OBSTIPATION	CONSTIPATION	
OBSTIPITÉ	TORTICOLIS	
OCCIPITAL	SINUS	
OCHRE	OCRE	
ODONTIQUE	ODONTALGIQUE	
ODONTOLITHIASE	ODONTOLITHE	
ODORATION	OLFACTION	
ŒCONOMIE	ECONOMIE	
ŒDÉMATIE	ŒDÈME	
ŒIL	HYDROPHTHALMIE	
ŒIL	HYDROPHTHALMIE	
ŒIL	LAGOPHTHALMIE	
ŒIL	BINOCLE	
ŒIL	MONOCLE	
ŒILLÈRE	BASSIN	
ŒSTROPHOBIE	NYMPHOMANIE	
ŒSTROPHOBIE	ŒSTROMANIE	
ŒSTROPLÉGIE	NYMPHOMANIE	
ŒSTROPLÉGIE	ŒSTROMANIE	
OLÉO-SACCHARUM	ÉLÆOSACCHAROM	???
OLIVAIRE	CORPS	
OMBILICAL	CORDON	
OMBILICAL	EXOMPHALE	
OMBILICO-MÉSENTÉRIQUE	OMPHALO-MÉSENTÉRIQUE	
OMENTÉSIE	OMENTITE	
OMO-HYOÏDIEN	OMOPLAT-HYOÏDIEN	
ONANISME	MASTURBATION	
ONDULATION	FLUCTUATION	
ONGUENT	ONGUENT	
ONGUENT	POPULEUM	
ONGUENT	BASILICON	
OPACITÉ	CATARACTE	
OPHTHALMIATRE	OCULISTE	
OPHTHALMITE	OPHTHALMIE	
OPILATION	OBSTRUCTION	
OPIUM	GOUTTES	
OPODELTOCH	OPODELDOCH	
OPPILATION	OPILATION	
ORBICULAIRE	LABIAL	
ORBICULAIRE	PALPÉBRAL	
ORCHIOCÈLE	ORCHIONCIE	
ORICULAIRE	AURICULAIRE	
ORICULE	AURICULE	
ORICULO-VENTRICULAIRE	AURICULO-VENTRICULAIRE	???
ORPIN	ORPIMENT	
OSPHYALGIE	OSPHALGIE	
OSTÉOGÉNESIE	OSTEOGÉNIE	
OSTÉOSARCOSE	OSTÉOSARCOME	
OTIRRHÉE	OTORRHÉE	
OUÏE	AUDITION	
OVALE	CENTRE	
OXALIN	OXALIQUE	
OXYDE	ANTIMONIEUX	
OXYDE	ARSENIEUX	
OXYDE	NITREUX	
OXYDE	BARYTE	
OXYDE	CHAUX	
OXYDE	CASEEUX	
OXYDE	CYSTIQUE	
OXYDE	GLUCYNE	
OXYDE	EAU	
OXYDE	MAGNÉSIE	
OXYDE	POTASSE	
OXYDE	SILICE	
OXYDE	SOUDE	
OXYDE	STRONTIANE	
OXYDE	TUNGSTIQUE	
OXYGÉNATION	OXYDATION	
OXYGÉNER	OXYDER	
PAIN	ALLÉLUIA	
PAIN	CYCLAME	
PAIN	BAOBAB	
PALMA-CHRISTI	RICIN	
PALMAIRE	RADIAL	
PALPÉBRAL	GLANDES	???
PANACEA	ARNIQUE	
PANACÉE	POUDRE	
PANDURÉ	PANDURIFORME	
PANTOPHOBIE	PANOPHOBIE	
PARACUSE	PARACOUSIE	
PARAGEUSTIE	PARAGEUSIE	
PARAMASTIQUE	PARACMASTIQUE	
PARARTHROME	PARARTHRÈME	
PARASITE	PARACYNANCIE	
PARASYNANCHE	PARASYNANCIE	
PASSE-CAMPANE	CAPELET	
PASSION	AFFECTION	
PASSION	CLAVEAU	
PASSION	CŒLIAQUE	
PASSION	HYPOCONCRIE	???
PASSION	HYSTÉRIE	
PASSION	ILEUS	
PATE	POMMADE	
PATHÉTIQUE	OBLIQUE	
PATHOLOGIE	PATHOLOGIE	
PATHOLOGIE	PATHOLOGIE	
PAVILLON	AURICULE	
PECTORILOQUIE	EGOPHONIE	
PEDICULATION	PHTHIRIASE	
PÉDOMÈTRE	ODOMÈTRE	
PELADE	ALOPÉCIE	
PÉLAGOSCOPE	ANÉMOSCOPE	
PÉLIOME	PELIOSE	
PELLACIA	PICA	
PENTANDRIQUE	PENTANDRE	
PÉRINÉEN	PERINEAL	
PÉRIPHIMOSIS	PARAPHIMOSIS	
PÉRIPLEUMONIE	PÉRIPNEUMONIE	
PÉRIPNEUMONIE	PNEUMONIE	
PÉRIRRHÉE	URACRASIE	
PERISTAPHYLIN	PERISTAPHYLIN	
PERISTAPHYLIN	PÉRISTAPHYLIN	???
PÉRITÉRION	PERETERION	
PÉRONIER	PÉRONIER	
PÉRONIER	PÉRONIER	
PÉRONIER	PÉRONIER	
PERSIL	BURON	
PERTE	LEUCORRHÉE	
PERTE	ANOREXIE	
PERTE	APHONIE	
PERTE	CÉCITÉ	
PERTE	AMNÉSIE	
PERTE	HÉMORRHAGIE	
PERTE	LEUCORRHÉE	
PERTE	MÉTRORRHAGIE	
PESTE	FIÈVRE	
PETIT-CHÊNE	GERMANDRÉE	
PETIT-HOUX	FRAGON	
PETITE-CENTAURÉE	CENTAURÉE	
PETITE-VÉROLE	VARIOLE	
PÉTREUX	SINUS	
PÉTRÉOLE	PÉTROLE	
PHARMACOPE	PHARMACIEN	
PHARYNGÉ	PHARYNGIEN	
PHARYNGIEN	PHARYNGITE	
PHARYNGO-STAPHYLIN	PALATO-PHARYNGIEN	
PHÉNIGME	PHŒNIGME	
PHILON romain	PHILONIUM	
PHRÉNISME	PHRÉNESIE	
PHTHEIRIASE	PHTHIRIASE	
PHTHONGODYSPHORIE	PSEUDÉCOÏE	???
PHTHOROBORIQUE	FLUOBORIQUE	???
PHTHOROSILICIQUE	FLUO-SILICIQUE	
PHTORURE	FLUURE	
PHYMOSIQUE	PHIMOSIQUE	
PHYMOSIS	PHIMOSIS	
PHYSCOCÉPHALE	PHYSOCÉPHALE	
PICACISME	PICA	
PIED	CORNE	
PIED	ALCHIMILLE	
PIED	CORNE	
PIED	ENCASTELURE	
PILE  de Volta	ÉLECTRIQUE	
PILE  de Volta	ÉLECTRIQUE	
PILULE	EXTRAIT	
PIRIFORME	PYRIFORME	
PISSEMENT	HÉMATURIE	
PLEURE	PLÈVRE	
PLEURÉSIE	PLEURODYNIE	
PLUMULE	PLANTULE	
PNEUMONORRHAGIE	PNEUMORRHAGIE	
PNIGAMON	PNIGALION	
POILETTE	PALETTE	
POIVRE	CUBÈBE	???
POIX	POIX	
POIX	POIX	
POIX	POIX	
POIX	PISSASPHALTE	
POIX	POIX	
POLYSPERMATIQUE	POLYSPERME	
POMMADE	ONGUENT	
POREAU	PORREAU	
PORREAU	POIREAU	
POTASSE	PIERRE	
POUDRE	HYDROCHLORATE	
POUDRE	PANACÉE	
POUDRE	HYDROSULFATE	
POUSSIÈRE	POLLEN	
PRÉCORDIAL	EPIGASTRALGIE	
PRÉCORDIAL	EPIGASTRE	
PRÉLUDE	PRODROME	
PRESBYOPE	PRESBYTE	
PRESBYOPIE	PRESBYTIE	
PRÉSERVATIF	PROPHYLACTIQUE	
PRESSOIR	CONFLUENT	
PROCÈS	CILIAIRE	
PROFOND	CRURAL	
PROGNOSTIC	PRONOSTIC	
PROGNOSTIQUE	PRONOSTIQUE	
PRONATEUR	CARRÉ	
PRONATEUR	ROND	
PRONATEUR	ROND	
PRONATEUR	CARRÉ	
PRONATEUR	CARRÉ	
PRUSSIQUE	HYDROCYANIQUE	
PSEUDO-PNEUMONITE	PSEUDO-PNEUMONIE	
PSILOSE	PTILOSE	
PTISANE	TISANE	
PUCE	PUSTULE	
PULSATILLE	COQUELOURDE	
PULSIMÈTRE	PULSILOGE	
PYOULQUE	PYULQUE	
PYRAMIDAL	CORPS	
PYRITE	PYRITE	
PYROMUQUEUX	PYROMUCIQUE	
PYROSORBIQUE	PYROMALIQUE	
QUARRÉ	CARRÉ	
QUARTANE	QUARTE	
QUEUE	ANGLAISER	
QUEUE	QUEUE	
QUEUE	QUEUE	
QUINQUINA	CASCARILLE	
QUINQUINA	ANGUSTURE	
QUINTE	QUINTANE	
QUOTIDIEN	TIERCE	
QUOTIDIEN	QUARTE	
RACHE	TEIGNE	
RACHITISME	RACHITIS	
REALGAL	RÉALGAR	
RÉCRÉMENTITIEL	RÉCRÉMENTEUX	
REFRIGÉRATIF	RÉFRIGÉRANT	
RELAXATION	RELACHEMENT	
RELEVEUR	ELÉVATEUR	
RELEVEUR	CANIN	
RELEVEUR	PALATO-STAPHYLIN	
RELEVEUR	ANGULAIRE	
RELEVEUR	ISCHIO-COCCYGIEN	
RELEVEUR	HOUPPE	
RENOUEUR	REBOUTEUR	
RÉPULSIF	RÉPERCUSSIF	
RÉSEAU	RÉSEAU	
RÉSERVOIR	RÉSERVOIR	
RÉSINE	ACMÉ	
RÉSINE	PICROMEL	
RÉSINE	CARAGNE	???
RÉSINE	COXAL	
RÉSINE	CAOUTCHOUC	
RÉSINE	ELEMI	
RÉSINE	GAÏACINE	
RÉSINE	LAQUE	
RÉSINE	HÉDÉRÉ	
RESPIRATION	RESPIRATION	
RESPIRATION	RESPIRATION	
RESPIRATION	RESPIRATION	
RESPIRATION	RONFLEMENT	
RÉTIFORME	RÉTICULAIRE	
RETRAITE	RETRAIT	
RHABILLEUR	REBOUTEUR	
RHACHIS	RACHIS	
RHACHISAGRE	RACHISAGRE	
RHACHITIS	RACHITIS	
RHACHITISME	RACHITISME	
RHABDOÏDE	RABDOÏDE	
RHICNOSE	RHINOSE	
RHODOMEL	MIEL	
RHUMAPYRE	RHUMATOPYRE	
RIS	RIRE	
ROBUB	ROB	
ROUSSEUR	TACHE	
RUBANNÉ	FASCIÉ	???
RUBINE d’arsenic	RÉALGAR	
SABURRAL	SALUBRE	
SACCHLACTATE	MUCATE	
SACCHLACTIQUE	MUCIQUE	
SACRÉ	EPILEPSIE	
SAFRAN	CARTHAME	
SAFRAN	CARTHAME	
SAFRAN	CURCUMA	
SAFRANUM	CARTHAME	
SAGAPIN	SAGAPENUM	
SAIRE	PORCELAINE	
SALAP	SALEP	
SANGUIFICATION	HEMATOSE	
SARCOPTE	ACARUS	
SARCOTHLASE	SARCOTHLASIE	
SARDONIEN	SARDONIQUE	
SAVON	LINIMENT	
SCABIEUX	GAZEUX	
SCÉLÉTYRBE	SCÉLOTYRBE	
SCHEELIN	SCHEELIUM	
SCIRRHE	SQUIRRHE	
SCOTOMIE	SCOTODYNIE	
SCROBICULE du cœur	FOSSETTE	
SCROPHULES	SCROFULES	
SCROPHULEUX	SCROFULEUX	
SCROTOCÈLE	OSCHÉOCÈLE	
SÉBEL	PTÉRYGION	
SECONDINES	ARRIÈRE-FAIX	
SEL	HALINITRE	
SELLE du turc	SELLE	
SÉMÉIOLOGIE	SÉMÉIOTIQUE	
SEMENCINE	SEMEN-CONTRA	
SEMI-QUARTE	QUARTE	
SEMI-SIDÉRISME	HÉMIPLÉGIE	
SEMI-TIERCE	TIERCE	
SERUM	SEROSITÉ	
SIALISME	SALIVATION	
SIALOGOGUE	SIALAGOGUE	
SINUS	CAVERNEUX	
SINUS	FRONTAL	
SINUS	MAXILLAIRE	
SINUS	PÉTREUX	
SINUS	SPHÉNOÏDAL	
SIPHILIS	SYPHILIS	
SIROP	SYROP	
SIWIN	SIBBENS	
SKIRRE	SQUIRRHE	
SOLBATURE	BATTU	
SOPORATIF	SOPORIFIQUE	
SOPORIFÈRE	SOPORIFIQUE	
SOUS-LINGUAL	SUBLINGUAL	
SOUS-MENTAL	SUBMENTAL	
SOYE	SOIE	
SPAGIRIE	SPAGYRIE	
SPARAGME	SPASME	
SPASME	CONVULSION	
SPASME	TÉTANOS	
SPASTIQUE	SPASMODIQUE	
SPECULUM	OPHTHALMOSTATE	
SPERMACETI	BLANC	
SPERMATIQUE	CORDON	
SPERMATOZEMIE	SPERMACRASIE	
SPINA bifida	HYDRORACHIS	
SPINAL	ACCESSOIRE	
SPLÉNECTOMIE	SPLÉNOTOMIE	
SPOLIATIF	SAIGNÉE	
SPONDYLALGIE	SPONDYLARTHROCACE	
SPORME	SPORE	
SPUITION	EXSPUITION	
SQUAME	ECAILLE	
SQUINANCIE	ANGINE	
SQUIRRE	SQUIRRHE	
SQUIRRHOGASTRE	SQUIRRHOGASTRIE	
STAHLISME	STAHLIANISME	
STALAGME	CORYZA	
STHÉNOPYRE	STÉNOPYRE	
STOMACHIQUE	STOMACAL	
STORAX	STYRAX	
STRANGULATION utérine	HYSTÉRIE	
STROBILE	CONE	
STRUMES	SCROFULES	
STRUMEUX	SCROFULEUX	
STUPÉFACTIF	STUPÉFIANT	
SUBLIME	FLÉCHISSEUR	
SUETTE	SUETTE	
SUEUR	SUETTE	
SUFFOCATION	HYSTÉRIE	
SUFFOCATION	HYSTÉRIE	
SUFFOCATION	HYSTÉRIE	
SUFFOCATION utérine	HYSTÉRIE	
SUFFUSION DE L’ŒIL	CATARACTE	
SUFFUSION ictérique	ICTÈRE	
SULFATE	ALUN	
SULFITE	HYPOSULFITE	
SULFO-CHYAZATE	CHYAZATE	
SULFO-CYANIQUE	CHYAZIQUE	
SULFURE	HYDROSULFATE	
SUPPRESSION	AMÉNORRHÉE	
SURCILIER	SOURCILIER	
SURRÉNAL	CAPSULE	
SUS-ÉPINEUX	SUR-ÉPINEUX	
SUSPENSEUR	GOUVERNAIL	
SYNANCHE	ANGINE	
SYNANCIE	ANGINE	
SYNCIPITAL	SINCIPITAL	
SYNCIPUT	SINCIPUT	
SYNIZÉZIS	SYNÉZIZIS	
SYNOQUE	FIÈVRE	
TACAMAQUE	TACAMAHACA	
TACHE	EPHÉLIDE	
TALPA	TAUPE	
TANTALATE	COLOMBATE	
TANTALIQUE	COLOMBIQUE	
TARACHE	TARAXIS	
TARENTULISME	TARENTISME	
TARTAREUX	TARTARIQUE	
TARTRIQUE	TARTARIQUE	
TARTRITE	TARTRATE	
TEINTURE	LAUDANUM	
TEINTURE	LILIUM	
TÉRÉBENTHINE	TACAMAHACA	
TÉRÉBENTHINE	GALIPOT	
TÉRÉBENTHINE	GALIPOT	
TÉRÉBENTHINE	GALIPOT	
TERRE	TERRE	
TERRETTE	LIERRE	
TERREUR	PANOPHOBIE	
THÉ	CAPRAIRE	
THÉ	CAPRAIRE	
THÉRIAQUE	DIATESSARON	
THLASMIE	THLASIE	
THORACIQUE	THORACHIQUE	
THYROÏDIEN	CRICO-THYROÏDIEN	???
TIGE	PITUITAIRE	
TINTEMENT  d’oreille.	TINTOUIN	
TITHYMALE	EUPHORBE	
TRACHÉLITE	TRACHÉITE	
TRACHÉOCÈLE	THYROCÈLE	
TRAQUENARD	AMBLE	
TRIANGULAIRE	ABAISSEUR	
TRIANGULAIRE	ABAISSEUR	
TRICHAISE	TRICHIASE	
TRICUSPIDAL	TRICUSPIDE	
TROCART	TROIS-QUARTS	
TROKANTER	TROCHANTER	
TROMBUS	TRUMBUS	
TROKITER	TROCHITER	
TROKLÉE	TROCHLÉE	
TROKIN	TROCHIN	
TURBITH	ALYPON	
TURQUETTE	HERNIOLE	
TYPHOÏDE	TYPHODE	
URÈTRE	URÈTHRE	
URIASE	LITHIASE	???
URNE	PIXYDULE	???
URORRHÉE	URORRHAGIE	
UVATION	STAPHYLÔME	
VALVULE	ILÉO-COLIQUE	
VAPORISATION	VAPORATION	
VASCULEUX	VASCULAIRE	
VEINE	DRAGONNEAU	
VEINEUX	CANAL	
VENTRILOQUE	ENGASTRIMYTHE	
VER	DRAGONNEAU	
VERCOQUIN	PHRÉNESIE	
VERETTE	VARIOLE	
VERMICULAIRE	VERMIFORME	
VERMIFUGE	ANTHELMINTIQUE	
VERMILLON	KERMÈS	
VÉROLE	SYPHILIS	
VÉROLE	VARIOLE	
VÉROLETTE	VARICELLE	
VÉROLIQUE	VÉNÉRIEN	
VERS intestinaux	ENTOZOAIRES	
VÉSICANT	VÉSICATOIRE	
VÉSICULE	CHOLÉCYSTE	
VÉSICULE	CHOLÉCYSTE	
VÉSICULE	ALLANTOÏDE	
VÉSICULE	VARIOLE	
VIN	LAUDANUM	
VIN	ELIXIR	
VINAIGRE	EAU	
VITRESCIBLE	VITRIFIABLE	
VOLATILISABLE	VOLATIL	
VOMISSEMENT	HÈMATÉMÈSE	
VRILLE	MYRRHE	
VUE	MYOPIE	
VUE	HÉMÉRALOPIE	
VUE	DIPLOPIE	
VUE	AMBLYOPIE	
VUE	PRESBYTIE	
VUE	STRABISME	
VUE	NYCTALOPIE	
YAWS	PIAN	
YÈBLE	HIÈBLE	???
YEUX	ŒIL	
ZOSTER	ZONA	
